T33,Net disbursements of official development assistance from donors,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
0,Total,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),"20,183",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
0,Total,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"33,855",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
0,Total,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"65,424",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
0,Total,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"120,771",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
0,Total,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"147,171",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
0,Total,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"155,721",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
0,Total,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"198,242",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
0,Total,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"224,480",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
0,Total,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),"251,455",Estimate.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
593,DAC total,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),"13,315",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
593,DAC total,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"28,858",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
593,DAC total,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"58,896",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
593,DAC total,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"108,412",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
593,DAC total,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"128,520",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
593,DAC total,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"131,611",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
593,DAC total,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"162,629",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
593,DAC total,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"184,886",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
593,DAC total,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),"205,978",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
593,DAC total,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.15,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
593,DAC total,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.51,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
593,DAC total,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.73,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
593,DAC total,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.91,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
593,DAC total,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.25,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
593,DAC total,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.65,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
593,DAC total,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.41,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
593,DAC total,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.84,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
36,Australia,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),552,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
